M Neuer MUN,8
R Burki DOR,4
R Fahrmann SKE,4
Y Sommer BM,1
L Karius MAI,2
T Horn KLN,3
B Leno LEV,4
R Jarstein HB,3
F Wiedwald BRE,0
D Benaglio WOL,3
R Özcan IGT,6
R Zieler HAN,2
P Tyton SGT,2
C Mathenia DST,3
L Hradecky EF,3
T Kraft HB,1
K Casteels WOL,1
R Adler HAM,2
J Drobny HAM,3
M Hitz AUG,1
O Baumann HOF,3
T Sippel BM,1
O Vlachodimos SGT,0
O Nyland IGT,0
A Hirzel HAM,0
P Cech ARS,6
J Hart MCY,7
K Schmeichel LEI,1
D De Gea MAN,5
H Lloris TOT,4
M Stekelenburg SHN,5
J Butland STO,4
T Howard EVE,3
S Mignolet LIV,4
Adrián WHU,1
B Myhill WBA,6
H Gomes WAT,5
L Fabianski SWA,2
W Hennessey CP,3
J Ruddy NC,1
A McCarthy CP,0
A Begovic CHE,2
R Elliot NCU,2
A Boruc BOU,1
D Randolph WHU,2
S Romero MAN,3
B Guzan AST,2
T Courtois CHE,0
C Pantilimon SUN,1
W Caballero MCY,0
T Krul NCU,1
K Davis SHN,0
M Vorm TOT,0
A Federici BOU,0
C Jenkinson WHU,0
J Oblak ATL,6
C Bravo BAR,4
K Navas RMD,6
A Aréola VIL,3
Iraizoz ATH,2
S Álvarez CEL,2
J Domènech VAL,5
P López ESP,2
Toño RAY,3
S Rico SEV,1
Adán BET,4
M Ter Stegen BAR,0
G Lux DEP,2
Guaita GET,4
A Riesgo EIB,4
X Irureta EIB,0
C Kameni MAG,4
J Varas LP,4
A García SPO,0
Rubén CEL,0
K Casilla RMD,0
G Rulli RSO,4
O Olazábal RSO,1
Rubén LEV,2
A Fernández GRA,0
I Cuéllar SPO,3
Beto SEV,1
M Ryan VAL,1
R Lizoain LP,0
Juan Carlos RAY,0
Néstor CEL,0
C Tatarusanu FIO,7
S Handanovic INT,8
P Reina NAP,7
W Szczesny ROM,2
A Consigli SAS,4
M Sportiello ATA,4
G Buffon JUV,3
F Marchetti LAZ,3
L Skorupski EMP,3
D Padelli TOR,1
E Viviano SMP,1
S Sorrentino PAL,4
G Donnarumma MIL,2
D López MIL,0
O Karnezis UDN,3
A Bizzarri CHV,2
N Leali FRO,2
A Mirante BGN,3
E Berisha LAZ,0
E Lamanna GEN,2
G Pegolo SAS,1
M De Sanctis ROM,0
M Perin GEN,1
A Da Costa BGN,0
V Belec CRP,0
L Lezzerini FIO,0
Neto JUV,0
F Benussi CRP,1
P Gollini VNA,0
Rafael VNA,1
M Zappino FRO,0
Z Brkic CRP,0
S Colombi PAL,0
K Trapp PSG,7
R Vercoutre CAN,5
A Lopes LYN,9
S Ruffier SEE,5
R Riou NTS,6
L Butelle ANG,7
D Subasic MCO,4
B Lecomte LOR,2
M Hassen NCE,2
S Mandanda MSE,2
B Costil RNS,2
J Lossl GNP,4
C Carrasso BDX,3
L Pionnier MPR,2
J Leca BST,2
C Maury GAZ,1
K Agassa REI,1
J Placide REI,2
J Prior BDX,1
Y Cardinale NCE,0
S Sirigu PSG,1
V Enyeama LIL,5
A Diallo RNS,1
M Goicoechea TOU,0
M Maignan LIL,1
J Hansen BST,1
G Jourdren MPR,0
J Ligali MPR,1
M Dupe NTS,0
T Vincensini BST,0
M Samassa GNP,0
F Chaigneau LOR,0
S Pouplin NCE,0
A Ahamada TOU,0
P Bernardoni TRO,1
D Petric TRO,1
J Goda GAZ,1